created_at	full_text	screen_name	edited_text
Sun May 19 15:12:01 +0000 2019	🔴 #URGENTE Último parte médico de María Jiménez: en estado grave en la UCI de un hospital de Cádiz https://t.co/e6r3uWpdIl	abc_es	🔴 URGENTE Último parte médico María Jiménez grave UCI hospital Cádiz
Sun May 19 15:10:00 +0000 2019	▶ Vídeo: Así echa humo el volcán del Teide en Canarias https://t.co/gSRPxnUID8	abc_es	▶ Vídeo echa humo volcán Teide Canarias
Sun May 19 14:51:45 +0000 2019	RT @abc_deportes: El Betis confirma la salida de Quique Setién tras dos temporadas https://t.co/AORVH7BKtz	abc_es	abc_deportes Betis confirma salida Quique Setién dos temporadas
Sun May 19 14:50:00 +0000 2019	La imagen de la Princesa Grace sigue siendo rentable en Mónaco https://t.co/Trm4Z6QxJ4	abc_es	imagen Princesa Grace sigue siendo rentable Mónaco
Sun May 19 14:40:01 +0000 2019	Así será la primera tienda de Uniqlo en Madrid https://t.co/n8KtsRtz1j	abc_es	primera tienda Uniqlo Madrid
Sun May 19 14:30:00 +0000 2019	Unos 2.000 civiles juran este domingo en Sevilla defender España https://t.co/FhtEuQmoNv	abc_es	2.000 civiles juran domingo Sevilla defender España
Sun May 19 14:21:39 +0000 2019	Miki agradece a los fans el apoyo recibido https://t.co/yzTmZejnUM #LaVenda #Eurovisión #EurovisiónRTVE https://t.co/ihF1thCFPn	abc_es	Miki agradece fans apoyo recibido LaVenda Eurovisión EurovisiónRTVE
Sun May 19 14:20:01 +0000 2019	El insólito pleito que sienta ante el juez a tres obispos por 8 millones de euros en obras de arte https://t.co/sTeBVn1hQf	abc_es	insólito pleito sienta juez tres obispos 8 millones euros obras arte
Sun May 19 14:15:15 +0000 2019	🔵 #DIRECTO Djokovic - Nadal en directo https://t.co/NVIeqKpMzW	abc_es	🔵 DIRECTO Djokovic Nadal directo
Sun May 19 14:13:42 +0000 2019	🔵 #DIRECTO Eibar - Barcelona en directo https://t.co/VHYhEfgDDB	abc_es	🔵 DIRECTO Eibar Barcelona directo
Sun May 19 14:10:00 +0000 2019	La centenaria Casa de la Carnicería de la Plaza Mayor resucita como hotel de lujo https://t.co/EIDtz1rPtP	abc_es	centenaria Casa Carnicería Plaza Mayor resucita hotel lujo
Sun May 19 14:00:46 +0000 2019	Así anticipó ABC el desastre de España en Eurovisión https://t.co/i8iPbRIlIu Por @jdguardiola #LaVenda #Eurovisión #EurovisiónRTVE	abc_es	anticipó ABC desastre España Eurovisión jdguardiola LaVenda Eurovisión EurovisiónRTVE
