created_at	full_text	screen_name	edited_text
Tue May 21 17:03:17 +0000 2019	Solución contraintuitiva al #cambioclimático : convertir metano en CO2 https://t.co/DMiMDYoHF4 https://t.co/IMxNctfivt	cienciaplus	Solución contraintuitiva cambioclimático convertir metano CO2
Tue May 21 16:39:42 +0000 2019	Los 'cubos de basura del mar' también comen pájaros cantores https://t.co/DqMbXK71dc	cienciaplus	'cubos basura mar comen pájaros cantores
Tue May 21 16:24:30 +0000 2019	Nueva especie de dinosaurio saurópodo identificada en #Portugal https://t.co/rXYuYXhXP7	cienciaplus	Nueva especie dinosaurio saurópodo identificada Portugal
Tue May 21 15:58:26 +0000 2019	Demostrada la formación de agua en la #Luna https://t.co/A6VfbypvZR	cienciaplus	Demostrada formación agua Luna
Tue May 21 15:35:41 +0000 2019	Primera imagen de un destello de rayos gamma terrestres https://t.co/n3C9fWh910	cienciaplus	Primera imagen destello rayos gamma terrestres
Tue May 21 15:13:11 +0000 2019	El #agua llegó a una #Tierra seca con la formación de la #Luna https://t.co/epLKmAGkup	cienciaplus	agua llegó Tierra seca formación Luna
Tue May 21 12:54:00 +0000 2019	"Transitar a la #agricultura resta tiempo libre aunque represente progreso
https://t.co/TFkvtM8qRR https://t.co/L1Z5jRot2E"	cienciaplus	Transitar agricultura resta tiempo libre aunque represente progreso
Tue May 21 11:17:11 +0000 2019	La explotación de recursos en el Sistema Solar debe limitarse ya a 1/8 https://t.co/t9uMuX9dbc	cienciaplus	explotación recursos Sistema Solar debe limitarse 1/8
Tue May 21 09:53:19 +0000 2019	Primera detección química de pelo rojizo en un antiguo #fósil https://t.co/WkRIQIw9cO	cienciaplus	Primera detección química pelo rojizo antiguo fósil
Tue May 21 09:21:33 +0000 2019	El #CalentamientoGlobal puede elevar más de dos metros el mar para 2100 https://t.co/sIlSkScyly	cienciaplus	CalentamientoGlobal puede elevar dos metros mar 2100
Tue May 21 08:56:45 +0000 2019	Solución contraintuitiva al #CambioClimático : convertir metano en #CO2 https://t.co/DMiMDYoHF4	cienciaplus	Solución contraintuitiva CambioClimático convertir metano CO2
Tue May 21 08:43:48 +0000 2019	Las madres bonobo se aseguran de ser abuelas https://t.co/jiXeFaLkhJ	cienciaplus	madres bonobo aseguran ser abuelas
Mon May 20 17:02:48 +0000 2019	La misión Juno detecta cambios en el campo magnético de #Júpiter https://t.co/664d5evydz	cienciaplus	misión Juno detecta cambios campo magnético Júpiter
Mon May 20 16:53:01 +0000 2019	#Plutón puede mantener un océano líquido interno protegido gas aislante https://t.co/GfhrbToBNM https://t.co/IhdZdQK1VL	cienciaplus	Plutón puede mantener océano líquido interno protegido gas aislante
Mon May 20 16:45:12 +0000 2019	Un planeta enano descarriado marcó diferencias en las caras de la #Luna https://t.co/kMchEFXg97	cienciaplus	planeta enano descarriado marcó diferencias caras Luna
Mon May 20 15:10:01 +0000 2019	El manto de la Tierra es como una pintura de Jackson Pollock https://t.co/K2fqK1DlUE	cienciaplus	manto Tierra pintura Jackson Pollock
Mon May 20 15:05:14 +0000 2019	#Plutón puede mantener un océano líquido interno protegido gas aislante https://t.co/GfhrbToBNM	cienciaplus	Plutón puede mantener océano líquido interno protegido gas aislante
